-2.000, 909.000
-1.960, 815.328
-1.919, 728.530
-1.879, 648.298
-1.838, 574.332
-1.798, 506.338
-1.758, 444.027
-1.717, 387.118
-1.677, 335.336
-1.636, 288.413
-1.596, 246.087
-1.556, 208.101
-1.515, 174.206
-1.475, 144.159
-1.434, 117.723
-1.394, 94.668
-1.354, 74.771
-1.313, 57.814
-1.273, 43.585
-1.232, 31.880
-1.192, 22.501
-1.152, 15.256
-1.111, 9.959
-1.071, 6.432
-1.030, 4.501
-0.990, 4.000
-0.949, 4.770
-0.909, 6.657
-0.869, 9.513
-0.828, 13.199
-0.788, 17.579
-0.747, 22.527
-0.707, 27.919
-0.667, 33.642
-0.626, 39.586
-0.586, 45.650
-0.545, 51.736
-0.505, 57.756
-0.465, 63.627
-0.424, 69.271
-0.384, 74.619
-0.343, 79.607
-0.303, 84.176
-0.263, 88.275
-0.222, 91.861
-0.182, 94.894
-0.141, 97.343
-0.101, 99.182
-0.061, 100.392
-0.020, 100.959
0.020, 100.878
0.061, 100.149
0.101, 98.778
0.141, 96.778
0.182, 94.167
0.222, 90.972
0.263, 87.225
0.303, 82.964
0.343, 78.233
0.384, 73.084
0.424, 67.575
0.465, 61.768
0.505, 55.736
0.545, 49.554
0.586, 43.306
0.626, 37.081
0.667, 30.975
0.707, 25.091
0.747, 19.537
0.788, 14.428
0.828, 9.886
0.869, 6.039
0.909, 3.020
0.949, 0.972
0.990, 0.041
1.030, 0.379
1.071, 2.149
1.111, 5.515
1.152, 10.650
1.192, 17.733
1.232, 26.951
1.273, 38.494
1.313, 52.561
1.354, 69.357
1.394, 89.093
1.434, 111.986
1.475, 138.260
1.515, 168.145
1.556, 201.879
1.596, 239.703
1.636, 281.868
1.677, 328.629
1.717, 380.249
1.758, 436.996
1.798, 499.146
1.838, 566.979
1.879, 640.783
1.919, 720.854
1.960, 807.490
2.000, 901.000
